Geneid	male_24m_2	male_24m_1	male_3m_5	male_24m_7	male_3m_6	male_3m_3	male_24m_4
ENSMUSG00000138973	14	4	11	5	2	14	10
ENSMUSG00000103561	16	22	22	29	10	21	19
ENSMUSG00000134440	7	3	13	2	1	8	5
ENSMUSG00000101610	7	1	4	1	9	5	10
ENSMUSG00000141382	4	7	1	2	5	6	7
ENSMUSG00000118923	0	0	0	1	0	5	3
ENSMUSG00000098555	1	4	1	0	0	0	1
ENSMUSG00000143719	5	2	6	2	0	10	8
ENSMUSG00000097628	5	4	11	0	12	4	9
ENSMUSG00000098163	1	5	3	0	4	3	4
ENSMUSG00000097171	8	6	17	6	8	10	23
ENSMUSG00000101314	6	0	8	6	3	7	2
ENSMUSG00000016918	88	258	232	143	363	103	181
ENSMUSG00000127288	4	3	8	6	6	1	10
ENSMUSG00000025938	94	120	154	57	89	85	218
ENSMUSG00000104518	2	2	0	3	0	0	2
ENSMUSG00000141815	10	2	5	6	4	2	8
ENSMUSG00000069620	0	0	0	0	0	0	0
ENSMUSG00000099498	17	11	4	6	9	3	14
ENSMUSG00000042414	2	4	11	1	0	10	20
ENSMUSG00000005886	258	286	389	634	684	178	334
ENSMUSG00000103506	15	30	22	15	18	15	19
ENSMUSG00000103495	13	13	12	18	12	8	19
ENSMUSG00002076346	2	0	0	0	0	0	1
ENSMUSG00000102639	4	3	8	5	2	0	4
ENSMUSG00000104170	15	7	20	16	5	13	23
ENSMUSG00000134412	1	1	5	0	5	6	1
ENSMUSG00000087782	0	0	0	1	1	0	0
ENSMUSG00000103085	12	34	70	47	53	40	69
ENSMUSG00000102664	18	31	25	22	38	19	36
ENSMUSG00000134452	15	11	18	9	6	20	11
ENSMUSG00000101476	12	7	7	3	5	3	13
ENSMUSG00000134491	0	8	4	1	9	0	3
ENSMUSG00000122424	4	2	6	4	3	2	12
ENSMUSG00000101171	1	0	0	0	0	0	3
ENSMUSG00000126000	13	2	5	5	3	5	8
