logFC	logCPM	LR	PValue	FDR	Gene_name
ENSMUSG00000095889	3.61677101434768	2.11794093812783	14.5537023176255	0.000136220717221767	0.0443502331714054	Ighv1-58
ENSMUSG00000093896	2.59493039472481	2.3494010100525	16.2916069551085	5.43039471195025e-05	0.0274506452689085	Ighv1-76
ENSMUSG00000094075	2.82570402819968	3.16852677372263	22.1177989278321	2.56421188395731e-06	0.00205233108662233	Ighv1-80
ENSMUSG00000021815	2.40301149819347	4.3905780673153	23.2570792342819	1.41727798925645e-06	0.00142605031256387	Mss51
ENSMUSG00000091650	2.20512906352582	3.83574616395531	14.7013999191975	0.000125952882065783	0.0417142915793385	Apol11a
ENSMUSG00000023019	1.91399692553497	4.92463046029474	20.2764991192035	6.70187420607207e-06	0.00459772505801566	Gpd1
ENSMUSG00000073418	1.55803206403506	6.22411346104426	15.4670529735696	8.39560016206585e-05	0.0357792212998363	C4b
ENSMUSG00000069372	3.42985296358624	1.87041454883291	19.6563280474946	9.26958196665351e-06	0.00574385161282088	Ctxn3
ENSMUSG00000024617	1.60085437311224	4.04084422399344	14.8214837265858	0.000118181491592384	0.0405383619999663	Camk2a
ENSMUSG00000006457	2.33112824053516	9.08593289666169	18.7981400502406	1.45308762059481e-05	0.00845829094060777	Actn3
ENSMUSG00000037071	2.23091726943627	8.26650436719043	15.4011821057687	8.69338935213552e-05	0.0357792212998363	Scd1
