baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name
ENSMUSG000000411346	97.5949024199902	0.883142496468917	0.092076299924424	9.59142034588486	8.68806414494954e-22	2.66011887399779e-20	Cyyr1
ENSMUSG000000227629	783.119252044101	0.728848641761629	0.0832801463532997	8.75176946339205	2.10033129806551e-18	4.70059370836886e-17	Ncam2
ENSMUSG00000022742	736.21048074223	1.09347267417492	0.150930017954198	7.24489858940292	4.32762887909108e-13	5.68737382507399e-12	Cpox
ENSMUSG000000715332	3402.61779645724	0.609273926600111	0.0447185865829769	13.6246239685948	2.85878958416338e-42	5.04778055348505e-40	Pcnp
ENSMUSG00000102101	136.148236560395	0.854109037197005	0.115567858135267	7.39054137524386	1.46232186459784e-13	2.01181097442592e-12	Zbtb11os1
ENSMUSG00000072419	10.0387377068347	6.87149079956355	0.708486424987386	9.69883198494015	3.0496973315507e-22	9.59271463380992e-21	Dppa2
ENSMUSG000000465162	1356.04361019035	0.758021931630245	0.074115896909649	10.2275215336638	1.49291203874322e-24	5.69860761101707e-23	Cox17
ENSMUSG000000140756	302.728177092943	0.515521638981272	0.0531426974450212	9.7007051536028	2.99422021494597e-22	9.42851772498466e-21	Dynlt2b
ENSMUSG000000225231	2167.82578203274	0.648843622202294	0.0549386912431814	11.8103217881592	3.45237448545975e-32	2.67824231983874e-30	Fgf12
ENSMUSG00000126289	48.0316055844738	3.00808115821489	0.31953431982786	9.41395327999636	4.77819335908401e-21	1.37325518680658e-19	ENSMUSG00000126289
ENSMUSG000000057325	1374.06085298074	0.723533610201245	0.0622027256646689	11.6318634347596	2.83832966001342e-31	1.99243819377674e-29	Ranbp1
ENSMUSG000000227887	332.690841012355	0.629990423719743	0.0856235194759526	7.35767961391351	1.87134521548426e-13	2.55015088290021e-12	Fgd4
ENSMUSG00000071637	103.197291720775	1.37284366883581	0.160744472263494	8.54053423737914	1.33602696749852e-17	2.75248333225305e-16	Cebpd
ENSMUSG00000120070	35.6666851628835	2.3467978385955	0.24080227274371	9.74574621682763	1.92360353948995e-22	6.16517076504011e-21	Gm56719
ENSMUSG000000311677	2190.38341036142	0.770375762171867	0.100469491031935	7.66775818469108	1.75028462514231e-14	2.64852480526923e-13	Rbm3
ENSMUSG00000022450	2703.06465546477	0.619390810338026	0.0501157605108268	12.3592020558925	4.34447737891052e-35	4.16794678141412e-33	Ndufa6
ENSMUSG00000038622	446.11851423479	0.89025727599658	0.0515762373640603	17.2609969531615	9.25000298436171e-67	9.18014951354877e-64	Med30
ENSMUSG000000223390	515.405676051426	0.697842855557003	0.0455713357625851	15.3131972956111	6.24185790486047e-53	2.49509600499707e-50	Ebag9
ENSMUSG00000022338	1033.77890309487	0.541803672334082	0.0458292029360957	11.8222364261838	2.99600936154979e-32	2.33049041715579e-30	Eny2
ENSMUSG00000022336	1428.6456961232	0.519102596009004	0.0474677553619826	10.9358993710657	7.76323538459855e-28	3.97568821359663e-26	Eif3e
ENSMUSG00000120390	27.3319543780782	1.76168726643132	0.197502746841668	8.91981146896962	4.67082655924134e-19	1.12400551171844e-17	Gm56743
ENSMUSG000000143136	7619.21980483007	0.903299903265255	0.0656311332342001	13.7632836544494	4.23830573499312e-43	8.07832300389648e-41	Cox6c
ENSMUSG000000223296	240.815884475437	0.767545577857146	0.0714079163235772	10.7487463207734	6.00725377936917e-27	2.84366399710566e-25	Stk3
ENSMUSG000000222557	1886.2097651303	0.634277344242395	0.0402389309187666	15.762778228946	5.61111111830305e-56	2.8332173525593e-53	Mtdh
ENSMUSG00000045763	1364.3700130425	1.32136211309704	0.118437069842253	11.1566599448718	6.64410816163952e-29	3.80924456175592e-27	Basp1
ENSMUSG000000222473	350.147039379801	0.802336677314022	0.0658709492226099	12.1804329037758	3.95178702419126e-34	3.51038217108793e-32	Brix1
ENSMUSG00000061524	31.0327931014853	2.11891668809444	0.306044202016694	6.92356422416022	4.4041933392107e-12	5.22278897799024e-11	Zic2
ENSMUSG000000250404	1128.25189360689	0.578162941206518	0.0500737140447104	11.546236428364	7.71243442348595e-31	5.18625175566236e-29	Fundc1
ENSMUSG000000255514	772.507074677196	0.557074658886917	0.0641472462402611	8.68431135454225	3.81043755092394e-18	8.30819720857135e-17	Fgf14
ENSMUSG000000414089	376.136612097156	0.709554067016305	0.0447920752244632	15.8410625866422	1.62059013779371e-56	8.80041599166807e-54	Wapl
ENSMUSG000000467531	160.203377586819	0.554478461770516	0.0729426309908256	7.60156926393641	2.92561113015493e-14	4.32843513035414e-13	Ccdc66
ENSMUSG00000071528	6470.79591539509	0.877287727167292	0.0815884017453785	10.75260341421	5.76121577034362e-27	2.73619721264455e-25	Atp5mk
ENSMUSG00000022114	1594.2299296955	0.683390659207846	0.080743599866372	8.46371304151456	2.58996633835978e-17	5.18732228144279e-16	Spry2
