Geneid	male_24m_2	male_24m_1	male_3m_5	male_24m_7	male_3m_6	male_3m_3	male_24m_4
ENSMUSG00002075819	0	0	0	0	1	2	1
ENSMUSG00000102588	4	5	5	5	0	2	12
ENSMUSG00000127312	10	6	45	8	15	20	43
ENSMUSG00000127278	21	24	36	15	12	35	49
ENSMUSG00000140763	9	6	15	6	8	14	18
ENSMUSG00000140464	7	7	34	3	7	13	25
ENSMUSG00000134469	0	0	10	0	0	2	5
ENSMUSG00000054493	42	63	74	18	13	51	54
ENSMUSG00000025930	24	32	19	31	16	2	21
ENSMUSG00000103492	47	46	92	12	25	46	103
ENSMUSG00000081201	1	0	0	3	4	7	5
ENSMUSG00000082193	8	28	23	8	10	5	22
ENSMUSG00000032769	49	96	102	100	29	50	111
ENSMUSG00000088159	0	1	1	0	0	2	1
ENSMUSG00000125466	26	18	18	6	25	29	25
ENSMUSG00000073737	3	16	6	13	0	12	11
ENSMUSG00000092083	166	133	271	105	174	263	330
ENSMUSG00000128216	4	13	9	0	0	6	14
ENSMUSG00000102937	12	35	52	12	28	29	26
ENSMUSG00000104149	45	36	34	16	10	22	40
ENSMUSG00000137925	22	18	59	19	4	49	55
ENSMUSG00000088829	5	0	4	0	1	0	2
ENSMUSG00000132707	7	0	8	4	5	2	2
ENSMUSG00000077377	4	0	3	0	3	1	0
ENSMUSG00000101652	1	5	6	2	6	5	6
ENSMUSG00000100814	4	0	7	1	2	0	3
ENSMUSG00000132745	33	7	35	10	21	9	26
ENSMUSG00000132786	11	2	9	3	11	3	19
ENSMUSG00000025925	187	434	398	651	531	169	317
ENSMUSG00000104379	7	16	18	4	16	15	18
ENSMUSG00000032719	3	51	15	1	5	0	10
ENSMUSG00002076565	2	4	4	4	10	5	12
ENSMUSG00000137819	2	3	6	1	6	7	6
ENSMUSG00000100652	4	4	5	8	14	8	20
ENSMUSG00000067795	15	7	22	9	5	16	22
ENSMUSG00000136711	14	13	0	0	6	5	5
ENSMUSG00000043716	919	3060	1704	4532	3559	596	1784
ENSMUSG00000025921	101	199	211	268	233	82	176
ENSMUSG00000132226	9	1	1	4	10	0	19
ENSMUSG00000104165	27	20	39	8	19	41	21
ENSMUSG00000100868	8	9	22	3	9	21	2
ENSMUSG00000025920	172	380	180	397	302	140	343
ENSMUSG00000089982	12	14	29	12	9	16	16
ENSMUSG00000025939	195	376	570	760	710	267	367
ENSMUSG00000102457	0	13	8	14	15	19	17
ENSMUSG00000079658	234	521	462	947	712	175	400
ENSMUSG00000097744	30	25	38	47	17	4	30
ENSMUSG00000100959	4	6	8	9	4	16	24
ENSMUSG00000025940	175	521	363	774	534	127	408
ENSMUSG00000125087	6	5	19	6	14	9	10
ENSMUSG00000025779	53	66	37	72	52	33	52
ENSMUSG00000100093	0	0	1	0	0	4	0
ENSMUSG00000091020	14	1	10	6	2	2	36
ENSMUSG00000142287	26	17	29	22	7	17	49
ENSMUSG00000101640	0	0	6	0	1	2	1
ENSMUSG00000104133	12	6	24	1	22	32	9
ENSMUSG00000042686	113	467	67	267	144	64	347
ENSMUSG00000127806	6	27	13	5	1	11	37
ENSMUSG00000127769	8	14	10	1	3	2	17
ENSMUSG00000100110	13	30	13	10	14	34	46
ENSMUSG00000025777	116	194	180	90	104	189	266
ENSMUSG00000099899	21	3	35	9	24	8	22
ENSMUSG00000138285	9	9	12	2	2	11	34
ENSMUSG00000100272	1	0	7	0	1	0	5
ENSMUSG00000137468	13	14	5	3	3	10	21
ENSMUSG00000137506	9	5	5	5	4	10	11
ENSMUSG00000100398	0	0	0	0	0	0	0
ENSMUSG00000101589	14	10	16	6	18	25	18
ENSMUSG00000102048	7	14	6	3	2	29	16
ENSMUSG00000089534	4	0	1	1	4	9	5
ENSMUSG00000067780	35	59	92	78	45	79	95
ENSMUSG00000100053	18	33	3	27	26	35	27
ENSMUSG00000085125	101	41	132	26	56	116	107
ENSMUSG00000025776	104	135	256	126	327	179	150
ENSMUSG00000099895	7	6	8	8	11	27	24
ENSMUSG00000109887	28	17	51	13	20	23	81
ENSMUSG00000100554	10	10	21	2	3	8	36
ENSMUSG00000099473	7	0	0	0	1	1	3
ENSMUSG00000099591	32	15	18	8	7	16	27
ENSMUSG00000102001	0	3	0	0	0	0	6
ENSMUSG00000101717	2	2	5	1	2	0	8
ENSMUSG00000025774	43	52	44	19	36	48	76
ENSMUSG00000142595	17	21	8	6	6	50	32
ENSMUSG00000070977	1	0	5	0	1	8	3
ENSMUSG00000131994	4	6	6	1	3	5	8
ENSMUSG00000073735	1	0	1	4	1	0	1
ENSMUSG00000067773	2	2	6	3	0	6	6
ENSMUSG00000101685	12	0	4	7	1	10	4
ENSMUSG00000132263	14	1	6	6	6	7	14
ENSMUSG00000132383	4	12	9	6	9	14	35
ENSMUSG00000101306	2	10	5	7	2	12	17
ENSMUSG00000134916	17	1	6	0	4	0	3
ENSMUSG00000088800	0	0	0	0	2	0	2
ENSMUSG00000101644	0	0	0	0	0	0	0
ENSMUSG00000099433	3	3	4	0	3	1	7
ENSMUSG00000089787	20	20	34	2	16	17	26
ENSMUSG00000042596	7	2	11	0	6	12	18
ENSMUSG00000100720	10	12	19	2	1	12	32
ENSMUSG00000025927	44	37	43	17	24	52	86
ENSMUSG00000142982	1	0	0	0	0	1	1
ENSMUSG00000100538	20	20	19	3	19	18	32
ENSMUSG00000101117	1	0	2	0	4	0	0
ENSMUSG00000100204	13	13	28	4	7	7	49
ENSMUSG00002076883	2	0	1	1	0	2	1
ENSMUSG00000141106	4	4	9	0	17	13	14
ENSMUSG00000102597	15	23	26	6	14	8	59
ENSMUSG00000142065	1	2	3	2	2	1	7
ENSMUSG00000136536	27	17	12	12	1	25	38
ENSMUSG00000043760	93	181	258	87	111	181	332
ENSMUSG00000104095	21	50	32	14	15	27	86
ENSMUSG00000089914	10	14	22	7	9	6	11
ENSMUSG00000090142	8	8	21	6	8	18	10
ENSMUSG00000070175	7	6	5	0	3	0	2
ENSMUSG00000099906	20	46	14	22	30	27	55
ENSMUSG00000065559	0	0	0	0	0	0	0
ENSMUSG00000065480	0	0	0	0	0	0	0
ENSMUSG00000133531	11	3	12	1	10	2	18
ENSMUSG00000025929	2	5	2	2	0	6	1
ENSMUSG00000041872	31	15	31	14	26	11	40
ENSMUSG00000041859	962	2592	3769	7340	5827	837	2389
ENSMUSG00000099714	0	12	9	8	6	9	18
ENSMUSG00000102121	16	20	13	5	9	20	12
ENSMUSG00000088858	2	0	2	0	0	0	2
ENSMUSG00000097934	5	4	29	2	5	0	25
ENSMUSG00000025931	69	86	144	80	191	58	108
ENSMUSG00000077314	3	0	3	0	0	2	0
ENSMUSG00000133875	3	2	6	0	0	5	6
ENSMUSG00000100929	1	0	13	0	0	2	0
ENSMUSG00000041809	21	61	76	31	74	53	54
ENSMUSG00000041779	195	349	257	623	620	198	256
ENSMUSG00000137435	5	7	8	0	7	7	8
ENSMUSG00000099971	0	0	9	0	2	3	3
ENSMUSG00000129840	17	10	11	0	6	0	20
ENSMUSG00000100819	1	0	2	0	0	4	0
ENSMUSG00000129885	13	5	49	13	8	14	55
ENSMUSG00000099343	18	16	24	5	9	3	16
ENSMUSG00000025933	18	46	31	72	32	32	22
ENSMUSG00000102633	8	2	24	10	20	18	33
ENSMUSG00000025934	26	53	61	33	28	43	61
ENSMUSG00000138037	0	0	2	0	0	2	0
ENSMUSG00000096375	0	0	0	0	0	0	0
ENSMUSG00000121505	39	37	106	65	22	59	100
ENSMUSG00000025936	0	0	0	0	0	0	0
ENSMUSG00000141880	8	4	8	6	8	1	11
ENSMUSG00000093963	3	0	1	0	4	0	6
ENSMUSG00000141838	4	4	5	0	4	2	2
ENSMUSG00000067750	3	8	2	11	4	20	16
ENSMUSG00000086194	1	2	6	0	0	10	5
ENSMUSG00000141922	5	18	15	12	13	14	14
ENSMUSG00000094436	0	0	0	0	0	0	0
ENSMUSG00000041722	1	5	5	2	5	19	2
ENSMUSG00000085507	0	1	6	0	0	6	3
ENSMUSG00000094926	2	0	6	0	0	0	10
ENSMUSG00000085079	18	13	30	6	25	29	15
ENSMUSG00000129191	22	17	17	0	8	6	12
ENSMUSG00000085679	0	0	1	0	0	5	3
ENSMUSG00000028033	83	107	145	120	125	65	141
ENSMUSG00000104138	28	36	32	13	30	20	96
ENSMUSG00000128794	5	5	6	0	6	3	8
ENSMUSG00000082935	25	7	16	6	9	22	18
ENSMUSG00000103748	44	44	48	32	66	33	64
ENSMUSG00000124418	9	17	76	46	12	5	39
ENSMUSG00000123368	10	10	20	10	11	14	34
ENSMUSG00000099692	8	5	5	5	7	8	18
ENSMUSG00000140384	4	0	12	2	0	0	11
ENSMUSG00000124412	6	0	5	4	2	3	5
ENSMUSG00000100418	21	6	3	3	2	4	21
ENSMUSG00000128972	6	22	1	7	2	5	15
ENSMUSG00000135509	1	5	6	2	3	17	15
ENSMUSG00000041670	86	96	116	45	76	135	164
ENSMUSG00000097642	8	4	7	4	1	12	13
ENSMUSG00000131366	1	3	6	4	0	0	6
ENSMUSG00000141541	7	2	5	2	13	0	7
ENSMUSG00000128277	3	4	0	0	1	0	0
ENSMUSG00000101468	0	14	15	0	6	3	9
ENSMUSG00000101227	26	45	39	12	4	43	71
ENSMUSG00000073730	2	16	12	2	6	4	31
ENSMUSG00000141721	19	16	25	5	9	14	26
ENSMUSG00000141755	16	4	5	1	8	1	17
ENSMUSG00000089553	2	1	3	1	0	4	6
ENSMUSG00000102766	0	4	0	2	4	9	1
ENSMUSG00000134304	110	162	128	119	135	143	210
ENSMUSG00000065405	0	0	0	1	0	0	0
ENSMUSG00000097970	5	7	8	8	6	7	16
ENSMUSG00000065567	0	0	0	0	0	0	0
ENSMUSG00000100775	3	2	0	1	2	0	0
ENSMUSG00000133147	2	15	8	1	3	3	7
ENSMUSG00000101226	6	4	7	5	1	10	13
ENSMUSG00000026158	401	1106	1274	2268	1955	381	839
ENSMUSG00000138593	21	12	14	7	6	17	33
ENSMUSG00000097920	10	18	19	3	11	6	38
ENSMUSG00000099503	31	35	61	9	12	16	32
ENSMUSG00000142633	0	0	7	6	0	0	4
ENSMUSG00000026156	54	49	82	62	86	89	130
ENSMUSG00000026155	216	376	289	632	506	117	341
ENSMUSG00000141937	4	6	5	3	2	0	12
ENSMUSG00000141893	14	27	21	2	15	6	19
ENSMUSG00000026154	48	105	91	167	136	50	77
ENSMUSG00000102495	9	5	8	6	8	6	15
ENSMUSG00000026153	161	314	205	201	346	162	348
ENSMUSG00000143955	0	0	2	0	0	0	0
ENSMUSG00000102398	14	13	27	9	10	25	27
ENSMUSG00000122847	30	44	39	23	14	60	27
ENSMUSG00000097670	12	25	22	6	2	7	20
ENSMUSG00000026147	89	71	233	34	86	280	111
ENSMUSG00000026141	122	81	161	87	69	122	211
ENSMUSG00000125396	16	18	12	9	6	14	25
ENSMUSG00000125434	7	11	4	2	2	8	3
ENSMUSG00000077463	0	0	0	2	0	6	0
ENSMUSG00000099997	13	19	26	9	8	23	15
ENSMUSG00000100131	5	10	6	3	3	4	11
ENSMUSG00000067736	3	3	4	3	5	8	9
ENSMUSG00000138098	11	3	1	0	3	4	6
ENSMUSG00000101939	0	0	0	0	0	0	0
ENSMUSG00000101111	4	25	7	22	15	8	22
ENSMUSG00000100862	4	18	7	13	23	2	27
ENSMUSG00000102070	1	13	2	14	4	6	3
ENSMUSG00000101249	11	18	21	16	15	5	29
ENSMUSG00000127021	4	7	17	10	3	7	6
ENSMUSG00000073725	440	957	981	1566	1244	251	842
ENSMUSG00000133176	0	1	10	1	11	14	12
ENSMUSG00000129414	2	2	0	0	1	3	7
ENSMUSG00000143216	2	11	17	9	9	5	23
ENSMUSG00000100808	3	0	9	1	8	0	5
ENSMUSG00000130976	8	5	5	2	4	5	11
ENSMUSG00000100483	4	18	11	7	9	8	24
ENSMUSG00000135830	2	9	5	1	2	1	12
ENSMUSG00000100450	1	0	8	0	0	3	6
ENSMUSG00000099392	0	2	8	2	3	3	7
ENSMUSG00000122244	25	15	24	19	12	49	55
ENSMUSG00000033569	185	159	319	93	105	217	223
ENSMUSG00000080849	1	0	1	0	0	2	1
ENSMUSG00000122289	2	11	10	0	3	5	7
ENSMUSG00000104257	4	4	2	2	10	1	5
ENSMUSG00000119153	0	0	0	0	1	0	0
ENSMUSG00000102296	2	7	4	0	0	0	1
ENSMUSG00000103209	28	12	57	21	16	33	57
ENSMUSG00000104027	41	100	106	32	43	56	91
ENSMUSG00000102407	9	38	16	5	4	15	55
ENSMUSG00000103214	67	62	67	32	30	39	31
ENSMUSG00000104100	28	22	40	10	5	9	85
ENSMUSG00000084740	7	1	1	1	0	0	3
ENSMUSG00000103889	39	24	25	42	22	57	58
ENSMUSG00000101301	5	11	5	1	2	10	7
ENSMUSG00000104221	45	28	36	10	3	54	102
ENSMUSG00000102250	66	104	111	29	82	87	125
ENSMUSG00000102317	47	24	63	4	6	56	83
ENSMUSG00000133748	7	4	3	0	10	4	4
ENSMUSG00000103563	11	26	11	17	16	16	41
ENSMUSG00000102465	12	70	37	24	18	29	89
ENSMUSG00000102659	9	10	12	11	2	13	33
ENSMUSG00000103924	42	28	48	18	28	31	86
ENSMUSG00000104132	77	69	88	30	35	121	109
ENSMUSG00000102747	60	143	102	59	74	156	88
ENSMUSG00000102386	11	0	10	2	8	2	28
ENSMUSG00000103004	3	0	0	0	0	4	2
ENSMUSG00000135201	0	0	1	0	0	0	0
ENSMUSG00000104516	0	4	3	0	11	3	6
ENSMUSG00000130306	13	8	18	10	9	17	33
ENSMUSG00000101618	0	8	14	1	4	1	14
ENSMUSG00000099458	4	2	11	2	6	1	1
ENSMUSG00000088111	3	7	2	1	0	3	4
ENSMUSG00000140232	22	53	50	18	24	43	48
ENSMUSG00000073722	11	8	25	16	9	36	19
ENSMUSG00000119695	0	2	6	1	3	13	2
ENSMUSG00000133566	30	19	18	10	12	8	27
ENSMUSG00000100310	0	0	3	0	0	2	2
ENSMUSG00000129952	22	18	19	8	7	23	51
ENSMUSG00000101514	35	35	21	13	20	35	52
ENSMUSG00000101033	0	2	0	0	2	0	5
ENSMUSG00000101372	18	11	28	20	12	11	23
ENSMUSG00000129466	6	14	10	4	13	12	18
ENSMUSG00000141222	3	7	8	3	2	9	12
ENSMUSG00000139702	3	11	11	2	9	14	8
ENSMUSG00000103241	10	10	6	8	6	11	14
ENSMUSG00000086240	0	19	11	17	4	14	7
ENSMUSG00000138065	26	31	57	22	27	81	59
ENSMUSG00000048411	23	20	3	3	1	9	31
ENSMUSG00000081557	20	9	36	0	2	23	13
ENSMUSG00000058590	7	0	9	3	6	3	13
ENSMUSG00000124238	1	2	0	8	0	5	4
ENSMUSG00000101235	2	13	14	6	7	2	11
ENSMUSG00002075209	0	2	2	2	3	3	0
ENSMUSG00002076857	0	2	1	0	0	0	6
ENSMUSG00002074912	3	0	0	0	0	4	2
ENSMUSG00000128221	4	0	11	0	6	5	6
ENSMUSG00000099257	0	0	0	0	0	0	0
ENSMUSG00000099492	5	2	10	4	0	2	2
ENSMUSG00000123191	4	10	5	7	8	12	3
ENSMUSG00000118548	2	10	17	5	11	16	20
ENSMUSG00000101726	0	10	24	2	1	9	11
ENSMUSG00002075317	1	6	6	0	3	2	7
ENSMUSG00000127937	78	91	123	42	67	106	141
ENSMUSG00002075289	0	0	2	3	3	0	1
ENSMUSG00000124992	13	8	9	4	0	2	5
ENSMUSG00000125037	25	22	42	12	7	40	69
ENSMUSG00000053185	24	10	14	12	18	36	40
ENSMUSG00000142156	0	0	5	0	4	1	0
ENSMUSG00000100261	6	23	6	5	5	9	14
