gene_id	SRR9126859	SRR9126934	SRR9127063	SRR9127293	SRR9127308	SRR9127357	SRR9127396
ENSMUSG00000000568.16	5.03778	9.176366	8.53852	12.807415	21.484106	1.006393	13.126359
ENSMUSG00000000579.15	17.176916	17.703944	22.383042	25.343963	23.72946	3.907049	18.421351
ENSMUSG00000000581.9	7.477006	6.749781	8.489666	9.200745	10.917968	3.266088	8.325693
ENSMUSG00000000594.8	9.839952	16.152617	13.156429	31.284611	18.620889	2.502001	12.282743
ENSMUSG00000000600.16	17.109085	15.602455	20.558694	16.115055	17.600549	8.312751	27.40263
ENSMUSG00000000605.10	4.616341	10.681348	10.697125	14.592214	14.053221	1.947232	8.996662
ENSMUSG00000000606.20	0.831926	0.49197	0.776245	0.183307	0.349093	0.530566	0.952571
ENSMUSG00000000617.15	0.091076	0.01168	0.217735	0.101892	0.056344	0.083257	0.320357
ENSMUSG00000000627.16	0	1.025703	0.13062	0.293889	0.063319	0.023463	0.203148
ENSMUSG00000000628.11	2.712325	2.985383	0	3.384354	2.769273	1.042085	2.958137
ENSMUSG00000000631.21	4.4869	6.45875	4.03935	5.629022	5.852698	1.866806	6.848153
ENSMUSG00000000632.14	0.547887	0.181865	0.358947	0.06581	0.032166	0.138497	0.3755
ENSMUSG00000000673.10	2.224849	3.003705	4.975931	8.570875	7.01913	0.807027	3.915192
ENSMUSG00000000682.8	71.662607	94.575832	68.587734	119.56804	111.339403	16.306579	55.520439
ENSMUSG00000000686.12	2.240721	3.690504	4.090294	5.637166	4.845984	1.598485	3.339482
ENSMUSG00000000690.6	0.190416	0.545733	0.158815	0.042712	0.188028	0.123341	0.127849
ENSMUSG00000000693.11	2.229066	4.815149	3.6188	3.370643	5.536807	1.071388	3.683118
ENSMUSG00000000701.9	0	0.050782	0.196967	0	0.113783	0	0.178464
ENSMUSG00000000706.17	0.30917	0.156923	0.798744	0	0.581028	0.032518	0.889298
ENSMUSG00000000708.15	0	2.560239	1.31026	1.087055	1.895942	0.586643	3.277152
ENSMUSG00000000711.4	11.582673	16.245351	16.936335	27.738884	26.55094	2.883779	15.013428
ENSMUSG00000000724.11	0.740428	0.359238	0.18803	0.068499	0.303224	0.165999	2.27001
ENSMUSG00000000730.14	0.10053	0.28041	0.058705	0.186075	0.156553	0.037028	0.109503
ENSMUSG00000000731.16	0.28409	0.079275	0.205141	0.313037	0.15912	0.009388	0.239243
ENSMUSG00000000732.10	3.299121	3.030921	3.013875	3.545184	3.177502	0.847542	3.273655
ENSMUSG00000000738.19	5.838718	7.997117	6.013516	9.950914	12.880205	2.155594	6.922435
ENSMUSG00000000739.15	0.496562	0	0.222378	0	0.113869	0.118176	0.590656
ENSMUSG00000000740.13	135.945747	254.905969	173.9022	419.502335	352.835584	35.089839	184.949462
ENSMUSG00000000743.10	12.268921	21.199729	19.930791	36.433804	29.700647	4.548512	16.488382
ENSMUSG00000000751.14	12.432453	17.108756	23.783484	41.660461	32.071561	2.243179	16.941884
ENSMUSG00000000753.16	7.84829	25.250895	11.858659	10.572781	29.229584	5.1522	5.149598
ENSMUSG00000000759.15	2.256589	2.085189	3.919512	3.512507	4.222099	0.397274	3.248208
ENSMUSG00000000766.19	2.306183	1.272223	2.622141	1.214786	0.864111	0.613004	2.167087
ENSMUSG00000000776.14	1.372171	0.098558	1.819975	0.850792	0.291875	0.540457	3.834524
ENSMUSG00000000782.17	0.293862	0.987338	1.012872	1.974117	0.471929	0.248648	1.685802
