baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name
ENSMUSG00000078619.11	28.4143600802239	2.4075766840061	0.574635159681465	4.18974830106234	2.79264048006416e-05	0.0268161186461433	Smarcd2
ENSMUSG00000083380.2	30.2983034683795	8.15986823667338	1.33702971985463	6.10298194236144	1.04107608174984e-09	6.59792377569778e-06	Ndufb4c
ENSMUSG00000086695.3	10.287534968462	6.59944510124241	1.38344157298405	4.77030995028405	1.83942661595027e-06	0.00384196846546118	Gm15247
ENSMUSG00000093861.3	67.7647363617152	2.77456958043438	0.670820073955736	4.13608609544601	3.53279689694146e-05	0.0292916775909696	Igkv1-110
ENSMUSG00000093894.2	351.740751009291	4.68765732711717	0.935753518936512	5.00950007908569	5.45716043605248e-07	0.00144105416581359	Ighv1-53
ENSMUSG00000094335.3	134.652863318516	3.24916613546048	0.783410301984417	4.14746414137033	3.36178102236108e-05	0.0292916775909696	Igkv1-117
ENSMUSG00000094420.3	55.5638268082455	2.72239545746315	0.612928934308891	4.44161680918651	8.92854563861956e-06	0.0114943928794911	Igkv10-96
ENSMUSG00000094546.2	46.2247532879215	1.95382629598981	0.491768223272487	3.97306333253502	7.09541735267596e-05	0.0478382095897012	Ighv1-26
ENSMUSG00000095351.3	141.276872306765	4.72336345276735	0.798298376992811	5.91678949738098	3.2828640427552e-09	1.73378992978045e-05	Igkv3-2
ENSMUSG00000095771.3	50.6906762160509	3.65966107536863	0.923982886989706	3.96074551476991	7.47161276916894e-05	0.0493250969644636	Igkv14-111
ENSMUSG00000096459.2	50.7709902912912	2.84486214937489	0.652828313155895	4.35774933783477	1.31406757013693e-05	0.0154222863564811	Ighv9-3
ENSMUSG00000096833.3	241.31099944762	5.49534115284096	0.824332344079477	6.66641457454584	2.6212814500096e-11	2.0765791646976e-07	Igkv4-55
ENSMUSG00000102344.3	9.01072867942002	6.4080361211524	1.59941734164049	4.00648158196148	6.16299286387138e-05	0.0433984261934125	9430053O09Rik
ENSMUSG00000111787.2	10.571243946085	6.63844121725843	1.41692409459933	4.68510715751193	2.79813499207628e-06	0.00488742851942015	Gm5035
ENSMUSG00000129988.1	120.312733735714	2.21888978109315	0.499944560744241	4.43827167114291	9.06841144872748e-06	0.0114943928794911	ENSMUSG00000129988
ENSMUSG00000143426.1	67.0131294762728	2.12849282631554	0.507308305278703	4.1956593341128	2.72078935934316e-05	0.0268161186461433	BC023105
