Geneid	male_4m_1	male_4m_2	male_4m_3	male_4m_4	male_4m_5	female_4m_1	female_4m_2	female_4m_3	female_4m_4	female_4m_5	male_18m_1	male_18m_2	male_18m_3	male_18m_4	male_18m_5	female_18m_1	female_18m_2	female_18m_3	female_18m_4	female_18m_5
ENSMUSG00000142086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095879	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085397	22	19.878	19	13	14	19	18	17	17	23	11	14	21	17	8	14	16	15.007	16	19
ENSMUSG00000142818	1	2	3	0	5	0	2	0	0	1	0	1	1	3	0	2	2	2	2	0
ENSMUSG00000062235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG000000412316	1305	910	1757	1059	749	1130	702	922	1045	1527	1112	1167	1219	859	887	1224	1620	1017	1137	1332
ENSMUSG00000101179	5	5	4	7	2	6	5	5	16	3	6	4	3	1	6	9	6	2	7	9
ENSMUSG00000053746	45.866	39	87.966	52.648	26	67.891	46.842	46.939	57.485	69.872	36.866	39.844	34.975	26.905	28	39.828	50	53.841	45.954	66.922
ENSMUSG00000064413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000135419	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
ENSMUSG00000134664	0	7.131	5.252	0	1.302	0.866	6.282	1.244	4.939	7.586	4.374	0	0	6.245	1.626	3.161	3.051	3.437	0	6.629
ENSMUSG000000320021	477.001	439	859.999	382	219	534	467	612	759	679	808	820	893.999	621	652	784	996.999	649	1017	935
ENSMUSG000000319485	1590.65	1174.14	2376.58	1368.45	1004.17	1445.72	953.042	1252.64	1536.18	1756.99	1161.61	1370.73	1271.21	993.159	849.009	1196.99	1678.37	1156.08	1870.25	1510.21
ENSMUSG00000050777	54	64	75	58	43	76	41	47	71	64	38	49	48	31	32	66	75	47	52	67
ENSMUSG00000099254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081834	1	0	1	1	1	1	0	2	3.009	2.005	0	1	0	0	0	1	1	0	1	0
ENSMUSG00000131348	4.74	7.57	10.272	7.325	1.002	2.355	7.123	7.036	5.789	9.231	4.391	5.968	8.658	3.079	5.356	3.635	4.392	4.327	14.915	7.638
ENSMUSG00000116178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000123289	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000123761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG000000298634	168	176	340	193.001	145	159	161	168	218	242	118	127.001	117	79	79	86	140	100.999	154.001	120
ENSMUSG00000123605	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000103362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000138338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000140229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
