Geneid	WT_C_1	WT_C_2	WT_C_3	WT_T_1	WT_T_2	WT_T_3	KO_C_1	KO_C_2	KO_C_3	KO_T_1	KO_T_2	KO_T_3
ENSMUSG00000097739	0	0	0	0	0	0	0	0	2	0	2	0
ENSMUSG00000121883	18	11	18	26	16	34	23	7	17	27	29	26
ENSMUSG00000097214	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097795	2	3	0	4	4	3	1	0	4	2	0	0
ENSMUSG00000124732	4	5	7	28	6	4	10	2	6	0	2	2
ENSMUSG000000973270	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044268	7	5	10	16	4	11	14	11	6	5	7	3
ENSMUSG000000532196	7	9	8	17	11	22	8	8	12	1	4	6
ENSMUSG000000752971	57	75	119	86	38	82	67	36	30	70	147	195
ENSMUSG00000139641	1	0	0	5	0	4	4	2	0	0	0	0
ENSMUSG00000097705	740	770	926	1205	852	764	555	301	296	941	1068	1060
ENSMUSG00000097108	28	48	60	69	31	57	30	8	24	40	61	90
ENSMUSG00000097053	0	0	0	1	0	0	3	0	0	0	1	1
ENSMUSG00000097295	253	268	331	409	224	324	179	58	109	226	274	330
ENSMUSG00000097586	12	20	19	8	5	9	8	9	4	18	35	32
ENSMUSG00000121430	804	548	762	207	155	155	692	446	565	457	604	633
ENSMUSG00000097352	9	1	6	6	1	3	0	2	2	2	2	4
ENSMUSG00000097245	121	50	86	37	34	32	132	72	91	111	103	100
ENSMUSG00000139569	2	1	2	2	3	3	0	0	3	2	1	1
ENSMUSG000000784521	0	0	9	7	9	10	13	2	11	4	0	5
ENSMUSG00000129199	14	15	12	28	10	21	10	10	6	5	3	5
ENSMUSG00000129275	0	0	2	5	5	2	2	0	2	0	0	0
ENSMUSG00000096937	9	15	20	26	22	27	13	4	13	2	12	14
ENSMUSG00000129241	1	0	5	0	0	2	1	2	1	0	0	1
ENSMUSG00000097012	0	0	2	0	0	0	0	1	1	0	1	1
ENSMUSG00000097473	0	2	2	7	8	6	4	1	7	3	0	1
ENSMUSG00000124465	0	16	14	31	23	24	13	9	10	5	3	6
ENSMUSG00000124504	8	12	9	7	12	7	1	3	1	0	1	0
ENSMUSG00000037490	37	23	26	21	17	23	27	15	11	18	21	23
ENSMUSG000000713594	993	546	945	170	170	157	1253	938	1024	687	698	563
ENSMUSG00000118528	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000131251	67	33	43	17	14	18	57	30	28	20	51	63
ENSMUSG00000098714	14	4	15	0	2	8	13	4	2	4	6	8
ENSMUSG00000112888	0	4	7	4	9	7	6	2	3	6	0	1
ENSMUSG00000112727	1	0	2	1	3	4	4	1	0	3	1	1
ENSMUSG00000112397	10	22	15	47	28	56	18	7	22	4	10	6
ENSMUSG00000045680	1	2	3	11	3	5	9	4	3	2	4	0
ENSMUSG00000123297	1	0	2	2	2	3	0	1	1	1	0	0
ENSMUSG00000112091	1	0	1	3	3	7	3	1	2	0	3	2
ENSMUSG00000134798	0	2	3	15	13	9	3	5	7	1	0	3
ENSMUSG00000142597	0	3	2	10	10	9	5	1	4	1	3	1
ENSMUSG00000128115	0	0	2	6	0	10	0	0	2	0	1	0
ENSMUSG000000104617	22	27	31	107	33	95	26	26	25	13	7	13
ENSMUSG00000119293	0	0	0	3	0	1	0	0	0	0	0	0
ENSMUSG00000112868	0	4	9	10	10	27	10	5	6	3	3	7
ENSMUSG00000125603	0	0	1	5	4	7	0	3	5	0	2	0
ENSMUSG00000140759	0	0	1	7	10	9	0	0	3	0	0	0
ENSMUSG00000141738	4	10	10	37	15	39	17	15	13	5	3	14
ENSMUSG00000127730	0	4	4	17	5	6	2	4	4	0	1	2
ENSMUSG00000061983	19862	9016	15948	4717	4302	2809	22245	15135	15567	25287	23767	13308
ENSMUSG00000070063	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076971	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077440	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000120060	45	17	36	16	17	15	63	39	27	39	39	14
ENSMUSG000000374558	4	8	13	36	32	47	6	5	2	7	3	2
ENSMUSG00000020010	0	3	3	8	6	12	5	2	1	2	4	1
ENSMUSG00000037440	0	1	1	9	3	18	2	0	1	0	1	0
ENSMUSG00000056379	1	1	2	5	3	10	2	1	1	0	1	2
ENSMUSG00000059763	0	1	1	1	2	4	2	0	1	1	0	0
ENSMUSG00000069708	1	2	0	2	2	3	1	1	1	0	0	3
ENSMUSG00000069707	2	1	7	12	8	8	11	1	0	0	3	4
ENSMUSG00000069706	1	1	3	1	3	8	5	1	4	1	0	2
ENSMUSG00000045111	0	1	1	7	2	4	5	1	3	0	0	0
ENSMUSG00000095647	0	1	2	7	2	9	6	2	2	0	0	4
ENSMUSG00000095171	9	4	2	4	4	6	5	2	7	3	0	3
ENSMUSG00000084182	0	0	2	8	4	5	1	1	0	0	0	0
ENSMUSG00000082437	0	0	1	2	3	3	2	3	0	0	1	1
ENSMUSG00000095569	1	1	4	3	10	6	1	4	1	3	0	0
ENSMUSG00000100689	1	1	1	10	8	3	2	0	2	1	3	1
ENSMUSG00000082960	0	2	0	2	1	1	3	0	4	0	0	1
ENSMUSG00000100950	1	0	1	0	2	7	5	2	0	1	0	2
ENSMUSG00000118542	0	0	0	1	2	4	1	0	0	0	0	0
ENSMUSG00000096442	0	1	0	4	3	4	0	0	0	0	0	2
ENSMUSG00000100186	1	1	1	5	0	4	1	1	8	0	0	0
ENSMUSG00000132435	0	0	3	7	7	2	2	1	4	1	1	3
ENSMUSG00000100004	0	0	0	0	3	7	2	0	0	0	0	0
ENSMUSG00000037424	1	2	1	4	3	10	0	2	4	1	1	0
ENSMUSG00000085451	1	11	2	9	6	11	3	3	1	0	1	1
ENSMUSG00000019998	303	178	267	154	128	120	391	347	338	367	365	270
ENSMUSG00000020000	1	6	15	21	15	37	5	11	15	3	4	5
ENSMUSG00000137048	1	1	1	0	2	2	0	0	1	0	0	1
ENSMUSG000000874001	20	42	24	83	60	70	43	26	40	17	13	24
ENSMUSG00000086148	6	7	11	17	10	31	3	2	8	0	3	3
ENSMUSG00000083196	0	0	1	0	0	4	0	0	1	0	0	2
ENSMUSG00000123677	2	3	0	2	7	10	7	4	0	1	2	0
ENSMUSG00000081259	0	1	0	4	4	3	2	0	1	2	2	1
ENSMUSG000000199972	2	2	5	13	9	9	4	1	1	3	1	2
ENSMUSG000000373704	78	52	87	71	87	66	137	123	110	135	137	107
ENSMUSG00000122137	1	5	6	5	8	22	7	2	5	7	2	3
ENSMUSG00000135734	2	1	0	9	7	7	5	8	7	3	1	0
ENSMUSG00000019989	14	15	22	29	24	50	30	14	19	3	7	13
ENSMUSG00000143128	1	3	7	8	10	14	8	1	2	0	2	0
ENSMUSG000000199847	1099	479	849	292	282	277	1189	894	734	1037	1308	1202
ENSMUSG00000119470	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099181	1	1	5	0	2	1	5	1	3	3	1	1
ENSMUSG000000199870	22	20	21	27	23	19	36	20	18	21	31	55
ENSMUSG00000112758	7	11	8	16	7	13	10	5	9	8	7	18
ENSMUSG00000135610	5	3	4	8	7	13	9	2	2	1	3	3
ENSMUSG00000143450	0	0	0	1	1	11	0	1	1	0	0	2
ENSMUSG00000111970	2	8	5	23	4	23	6	1	6	2	3	8
ENSMUSG00000135080	0	1	2	8	0	6	0	0	1	3	0	0
ENSMUSG00000112597	1	1	0	3	5	6	3	0	3	0	1	3
ENSMUSG00002075719	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000138417	1	4	4	4	2	5	4	2	5	1	1	1
ENSMUSG00000120461	6	22	15	36	22	28	11	2	6	6	2	9
ENSMUSG00000134843	2	0	0	6	2	5	4	6	2	2	0	1
ENSMUSG00000133174	9	4	10	18	14	30	9	9	5	1	2	10
ENSMUSG000000391667	75	48	73	88	40	55	85	55	85	110	113	152
ENSMUSG00000112371	1	1	0	1	0	3	0	1	1	1	2	5
ENSMUSG00000089024	1	3	2	1	1	2	1	3	2	0	0	0
ENSMUSG00002076559	4	3	1	4	3	1	1	2	1	0	2	2
ENSMUSG00000112352	0	5	5	9	8	10	2	0	4	3	1	2
ENSMUSG00000136682	14	11	15	16	20	19	11	9	12	32	62	76
ENSMUSG000000199787	778	538	739	1158	856	969	959	501	642	2871	4040	3626
ENSMUSG00000136724	4	6	16	22	11	14	14	13	8	44	65	92
ENSMUSG00000136767	6	4	7	10	6	12	9	3	5	10	43	29
ENSMUSG00000112445	4	4	7	6	8	9	6	2	3	16	28	41
ENSMUSG00000096546	8	6	7	13	11	29	11	8	10	6	8	8
ENSMUSG00000101537	4	21	31	76	48	82	49	23	32	13	4	25
ENSMUSG00000112630	2	12	4	21	23	22	21	8	6	5	2	6
ENSMUSG00000112101	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000133577	5	1	1	1	6	2	1	1	0	1	0	2
ENSMUSG00000112803	0	3	8	12	9	12	12	1	3	2	3	4
ENSMUSG00000112444	6	4	8	12	13	13	10	12	12	3	1	4
ENSMUSG00000112491	0	3	2	5	11	7	3	1	3	0	1	1
ENSMUSG00000112691	0	2	7	3	3	4	2	2	3	0	1	0
ENSMUSG00000112269	2	2	3	7	1	3	12	1	7	11	7	5
ENSMUSG00000129559	2	2	3	6	2	9	1	1	3	1	0	1
ENSMUSG00000112861	0	2	2	1	7	9	1	1	5	0	0	2
ENSMUSG00000112324	1	1	2	1	1	1	0	0	0	0	0	1
ENSMUSG000000494200	4	9	10	18	11	23	9	9	9	4	2	2
ENSMUSG00000143816	0	0	0	3	0	1	1	0	1	0	1	0
ENSMUSG00000143861	4	3	1	0	4	1	5	1	0	3	0	1
ENSMUSG00000143779	3	4	3	15	9	17	9	4	7	0	3	5
ENSMUSG00000039098	0	1	2	7	0	5	1	3	1	2	0	1
ENSMUSG00000112808	185	58	132	20	18	14	311	198	203	240	180	134
ENSMUSG000000513545	34	22	22	32	23	34	42	26	35	31	24	30
ENSMUSG000000390896	840	507	855	444	421	366	767	547	567	1081	1245	1212
ENSMUSG00002075176	0	2	2	2	0	0	6	0	0	3	3	6
ENSMUSG00002075974	1	2	1	0	1	0	0	0	4	2	4	2
ENSMUSG00000112045	0	2	2	5	3	8	4	0	5	2	1	3
ENSMUSG00000112797	6	13	14	20	15	38	16	15	10	13	25	10
ENSMUSG00000124882	1	2	0	1	4	7	3	1	1	0	0	0
ENSMUSG00000111882	0	0	0	2	4	2	4	0	3	1	2	0
ENSMUSG00000098179	1	0	2	4	1	9	1	4	0	0	0	0
ENSMUSG00000111950	0	1	1	9	0	7	3	3	3	1	0	0
ENSMUSG00000112389	0	0	4	1	4	6	0	2	1	0	0	0
ENSMUSG00000112675	2	2	0	0	0	0	2	0	1	0	0	0
ENSMUSG000000390317	415	227	355	242	182	164	502	446	451	974	1032	787
ENSMUSG00000112751	0	3	4	3	4	5	5	2	4	0	1	3
ENSMUSG00000112804	1	0	0	0	0	2	0	2	0	0	0	2
ENSMUSG000000198998	21	23	35	107	73	136	47	35	42	19	9	25
ENSMUSG00000112052	1	19	14	21	13	27	5	3	2	4	1	5
ENSMUSG00000134738	0	2	1	3	3	3	3	0	0	1	2	0
ENSMUSG00000112472	0	0	1	1	0	4	1	1	1	1	0	1
ENSMUSG00000101636	1	0	4	21	2	12	5	1	1	5	0	0
ENSMUSG00002076490	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000103931	3	3	2	13	5	10	6	2	2	0	3	1
ENSMUSG00000112610	5	4	9	12	6	18	5	3	6	1	3	5
ENSMUSG00000112206	3	6	5	15	7	16	5	0	5	3	3	0
ENSMUSG00000112703	0	2	6	4	7	5	0	6	1	0	2	1
ENSMUSG00000112786	0	0	1	4	4	2	4	1	1	1	1	0
ENSMUSG00000125617	2	0	2	6	3	6	3	0	2	0	0	1
ENSMUSG00000125652	0	1	0	0	0	2	0	0	2	0	0	0
ENSMUSG00000112620	0	3	1	2	3	5	1	0	1	2	0	0
ENSMUSG00000064208	7	4	5	3	6	7	8	11	9	13	14	11
ENSMUSG00000137060	0	0	0	1	1	8	3	0	0	0	1	4
ENSMUSG00000112432	2	0	0	3	0	1	0	0	0	0	0	0
ENSMUSG000000198891	772	337	628	58	33	81	744	456	666	143	128	161
ENSMUSG00000139397	2	4	7	8	3	7	4	2	4	1	2	3
ENSMUSG00002075684	0	0	1	0	0	0	4	0	2	0	0	1
ENSMUSG000000491096	1022	766	1112	1466	1300	1122	1785	1118	1110	5455	5207	3989
ENSMUSG00000112111	4	12	25	22	15	20	20	11	10	34	72	67
ENSMUSG00000121770	13	15	14	15	10	25	12	5	6	24	16	46
ENSMUSG00000111991	2	0	0	6	1	8	0	1	1	0	2	0
ENSMUSG00000090126	0	0	0	7	5	10	3	1	1	0	0	0
ENSMUSG00000088093	0	0	0	1	1	0	2	1	0	0	0	0
ENSMUSG000000155193	0	6	4	4	7	13	0	0	3	1	0	0
ENSMUSG00000110846	0	2	0	4	5	9	0	0	0	0	0	0
ENSMUSG00000111542	1	2	2	9	3	4	0	1	5	0	0	0
ENSMUSG00000130659	2	4	3	4	0	5	2	1	4	0	1	0
ENSMUSG00000095478	87	21	38	2	12	6	59	56	44	66	37	34
ENSMUSG00000056316	4	0	0	0	1	4	0	0	2	0	0	4
ENSMUSG00000038916	6	9	9	24	11	28	16	10	13	4	5	9
ENSMUSG00000110723	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG000000043600	13	17	14	22	20	51	9	5	14	3	4	6
ENSMUSG00000129406	1	1	1	8	4	4	0	1	1	0	0	2
ENSMUSG00000110830	88	62	98	87	67	57	66	35	42	69	107	109
ENSMUSG000000198832	115	60	124	39	35	40	145	84	115	138	98	86
ENSMUSG000000388763	291	179	279	203	145	139	386	228	267	394	399	389
ENSMUSG00000119317	18	16	9	8	5	15	25	15	8	24	43	35
ENSMUSG00000111496	159	120	167	175	104	130	156	127	137	295	297	299
ENSMUSG00000111646	116	83	117	77	64	80	110	83	92	196	229	194
ENSMUSG00000111090	8	11	4	20	5	21	10	11	12	7	4	6
ENSMUSG00000129336	0	2	3	14	2	5	2	2	2	0	0	2
ENSMUSG00000088257	1	0	0	2	3	2	0	1	1	1	0	1
ENSMUSG00000111741	0	0	1	10	7	6	0	0	6	1	1	0
ENSMUSG000000198801	4	1	4	18	11	14	7	7	0	0	5	5
ENSMUSG00000110986	3	7	5	23	17	13	9	6	8	0	4	7
ENSMUSG00000110831	3	4	3	7	7	6	4	1	4	0	0	0
ENSMUSG00000111046	2	0	0	2	1	3	0	0	0	1	0	0
ENSMUSG00000127808	0	3	1	4	2	8	4	1	3	0	0	0
ENSMUSG00000121784	1298	486	1016	154	278	147	1050	1222	876	1485	1478	676
ENSMUSG00000069682	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111427	1	0	0	3	1	6	0	0	1	1	0	0
ENSMUSG00000111195	1	4	2	10	10	25	2	1	3	1	1	0
ENSMUSG00000111554	2	6	5	5	5	11	3	5	4	2	1	0
ENSMUSG00000111001	0	0	1	3	1	7	2	0	0	2	0	1
ENSMUSG00000110776	0	1	5	4	0	4	0	0	2	0	1	0
ENSMUSG00000075266	166	88	131	27	35	23	486	277	247	519	443	266
ENSMUSG00000126072	0	6	3	6	0	8	1	3	1	5	1	3
ENSMUSG00000121631	2	0	1	3	6	9	1	1	2	0	1	0
ENSMUSG00000111047	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118726	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111397	0	5	5	4	4	12	3	5	6	9	7	8
ENSMUSG00000111211	6	9	18	12	5	6	17	28	15	41	41	50
ENSMUSG00000019792	548	262	478	166	173	143	700	476	511	949	831	631
ENSMUSG00000111080	124	82	108	107	77	76	120	90	84	185	233	248
ENSMUSG000000197913	202	95	161	102	94	83	232	193	146	367	363	253
ENSMUSG000000396977	939	487	744	297	200	219	1288	885	1074	1223	1136	1174
ENSMUSG00000125026	7	13	4	3	14	13	5	4	5	14	17	9
ENSMUSG00002075780	0	3	0	2	0	0	1	0	0	0	4	4
ENSMUSG00000110894	15	19	14	33	25	32	14	15	18	20	27	25
ENSMUSG00000111442	6	5	11	14	4	14	6	6	1	5	7	12
ENSMUSG00000110744	22	17	22	19	10	9	41	22	20	21	29	59
ENSMUSG000000197890	9	9	12	33	20	23	12	8	10	5	2	6
ENSMUSG00000110918	0	1	2	3	2	1	2	2	0	3	0	0
ENSMUSG00000119396	0	0	0	1	0	1	0	0	1	0	0	0
ENSMUSG00000111778	7	8	2	25	17	31	11	8	10	6	2	5
ENSMUSG00000137133	2	0	0	2	5	1	3	0	1	0	0	0
ENSMUSG00000118948	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000111396	0	1	0	5	2	7	4	3	1	0	1	0
ENSMUSG00000121634	0	1	0	0	2	3	1	0	0	1	0	1
ENSMUSG000000396841	5	2	0	0	0	0	2	6	1	8	1	0
ENSMUSG00000135305	11	4	11	17	10	15	25	15	24	10	8	12
ENSMUSG00000143025	3	4	0	2	0	12	1	0	4	1	0	1
ENSMUSG000000002954	195	107	184	64	75	65	327	172	218	328	343	235
ENSMUSG00002075988	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111664	20	19	15	21	9	23	11	25	17	20	14	21
ENSMUSG00000138168	2	3	6	9	11	12	6	4	13	0	4	5
ENSMUSG00000000296	2	1	3	12	5	11	1	1	7	1	3	0
ENSMUSG00000111256	1	1	5	5	1	7	3	3	5	1	0	6
ENSMUSG00000110960	8	3	6	2	1	0	1	4	0	4	4	3
ENSMUSG00000110758	2	2	7	6	17	16	5	1	4	3	0	4
ENSMUSG00000110976	3	1	1	3	10	0	5	4	4	0	0	1
ENSMUSG00000111865	9	7	18	34	24	32	14	5	13	4	11	8
ENSMUSG000000637600	11	6	12	29	17	77	9	3	10	3	5	6
ENSMUSG00000112338	1	2	1	14	9	6	5	3	2	2	0	1
ENSMUSG00000098068	1	3	3	5	9	15	2	1	3	1	2	2
ENSMUSG00000098038	0	3	2	4	3	9	1	0	1	0	0	2
ENSMUSG000000696700	9	9	6	30	15	48	8	1	5	3	3	6
ENSMUSG00000112866	0	2	1	12	3	12	0	0	2	0	0	4
ENSMUSG00000112906	2	5	5	6	11	12	4	7	3	1	1	1
ENSMUSG00000141307	0	2	3	6	7	13	5	0	4	0	1	1
ENSMUSG00000112367	2	2	0	11	6	6	1	3	3	1	0	0
ENSMUSG00000112409	3	3	1	0	4	4	3	8	2	3	2	1
ENSMUSG00000112511	1	0	1	5	2	5	1	0	2	1	0	1
ENSMUSG00000112075	4	3	2	12	18	15	14	3	6	3	4	6
ENSMUSG00000112914	0	0	0	2	3	1	0	0	0	0	0	0
ENSMUSG00000127503	3	3	2	8	7	19	5	3	5	0	1	1
ENSMUSG00000112469	4	6	3	12	6	10	2	6	1	4	1	2
ENSMUSG00000123133	0	0	1	0	3	7	2	3	2	1	1	0
ENSMUSG000000197870	5	19	21	52	29	57	9	6	16	4	1	11
ENSMUSG00000112897	0	0	0	6	0	4	0	0	1	0	1	1
ENSMUSG00000112707	14	26	23	83	46	62	30	21	35	6	13	14
ENSMUSG00000112182	1	2	4	5	3	5	0	0	0	0	2	0
ENSMUSG00000112692	3	0	0	3	2	4	3	4	3	2	4	0
ENSMUSG00000112855	3	8	3	17	18	25	9	0	6	1	2	3
ENSMUSG00000112521	0	0	0	0	2	0	0	0	1	0	0	0
ENSMUSG00000111958	0	0	2	11	1	8	1	2	5	0	2	0
ENSMUSG00000111980	0	1	5	8	5	6	1	2	3	0	1	0
ENSMUSG00000112329	0	0	0	0	0	3	0	0	0	0	0	1
ENSMUSG000000197855	11	10	10	40	24	33	11	10	13	5	5	7
ENSMUSG00000112248	1	0	1	13	8	8	4	5	5	4	1	6
ENSMUSG00000112369	5	7	3	26	6	15	1	1	4	2	1	1
ENSMUSG00000090087	1	0	3	15	6	11	4	2	4	1	5	0
ENSMUSG00000123105	1	0	0	4	0	0	0	0	2	0	0	1
ENSMUSG00000112656	1	0	0	1	2	10	3	0	0	0	1	0
ENSMUSG00000144017	1	0	3	4	13	5	3	2	5	0	0	0
ENSMUSG00000090298	0	2	4	11	0	10	1	1	3	0	2	2
ENSMUSG00000071343	7	2	2	4	6	1	7	5	8	5	0	3
ENSMUSG00000069668	3	0	3	9	1	7	3	0	3	2	3	2
ENSMUSG00000112447	0	2	0	5	0	5	1	0	0	0	0	2
ENSMUSG00000112534	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG000000395525	10	19	16	29	27	23	11	16	17	9	9	16
ENSMUSG00000039531	1108	818	1111	1029	652	657	1167	778	985	1873	2247	2281
ENSMUSG00000121326	5	8	16	18	9	15	17	22	13	23	27	28
ENSMUSG00000111993	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000112782	2	2	1	11	0	1	1	1	3	0	1	5
ENSMUSG00000112801	2	1	1	4	1	3	0	0	2	1	0	1
ENSMUSG00000112280	85	57	94	81	46	75	53	51	43	80	82	119
ENSMUSG000000197821	1001	516	824	235	199	141	1169	853	1045	1192	1123	726
ENSMUSG00000111905	36	19	27	11	7	17	36	19	21	26	33	30
ENSMUSG00000071340	3	2	0	6	7	11	6	4	2	5	2	8
ENSMUSG00000039508	10	5	6	32	14	25	4	13	17	4	3	4
ENSMUSG00000049872	7	6	6	24	17	25	12	8	7	4	7	11
ENSMUSG00000046031	228	139	218	43	82	51	349	199	164	309	242	155
ENSMUSG00000039497	894	432	730	262	310	244	1000	710	702	1128	1118	929
ENSMUSG00000111361	33	38	51	29	24	32	34	20	34	18	33	18
ENSMUSG00000111876	0	0	0	3	1	1	1	0	3	0	0	0
ENSMUSG00000097274	9	10	19	26	14	28	19	16	13	25	38	38
ENSMUSG00000111563	4	2	6	12	4	8	5	5	10	0	0	3
ENSMUSG00000047514	1156	598	1091	343	306	276	1126	764	954	1267	1417	1094
ENSMUSG000000394805	946	517	828	263	252	225	921	641	734	1132	1227	955
ENSMUSG00000110791	25	24	35	45	29	40	32	19	32	38	59	61
ENSMUSG00000039485	319	185	234	122	106	95	325	266	238	342	398	359
ENSMUSG00000039462	109	74	97	32	32	39	100	80	58	125	250	241
ENSMUSG000000197796	0	10	10	27	22	54	7	4	9	1	1	4
ENSMUSG00000129830	0	1	1	7	2	5	2	0	3	0	0	0
ENSMUSG00000121645	0	0	0	1	2	2	2	2	1	0	0	1
ENSMUSG00000111042	1	1	0	2	1	6	4	0	0	1	0	1
ENSMUSG00000110935	1	2	1	2	1	9	4	1	0	1	3	1
ENSMUSG00000122628	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000077749	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000111216	0	1	1	1	1	2	1	0	0	0	0	0
ENSMUSG00000110837	0	2	3	1	0	0	1	0	0	0	0	1
ENSMUSG00000111753	0	2	3	4	7	14	3	2	3	1	1	0
ENSMUSG00000063953	9	7	11	7	1	6	34	24	5	29	25	6
ENSMUSG00000111550	5	15	8	27	20	31	19	11	12	5	5	12
ENSMUSG00000110865	0	0	0	0	1	1	2	0	0	1	0	0
ENSMUSG00000110987	2	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000133983	0	0	0	4	5	3	3	0	0	1	3	1
ENSMUSG00000110731	0	3	0	5	1	6	1	0	1	0	0	0
ENSMUSG000000444992	5	6	7	20	22	27	7	2	9	2	2	15
ENSMUSG00000111231	3	3	1	2	0	6	2	3	3	3	1	1
ENSMUSG00000142806	3	4	5	8	9	7	6	4	3	2	0	2
ENSMUSG00000088423	0	2	0	2	0	0	0	0	0	0	0	0
ENSMUSG000000197777	1410	705	1324	469	398	325	1694	1013	1404	1852	1778	1278
ENSMUSG00000126322	2	3	1	8	3	18	4	2	7	0	0	0
ENSMUSG00000103299	0	0	0	1	2	2	0	1	0	3	0	1
ENSMUSG00000069662	158	107	151	85	79	95	150	122	128	505	626	504
ENSMUSG00000120261	0	0	0	3	1	1	1	0	0	0	0	0
ENSMUSG00000046463	7	1	2	16	15	20	5	5	4	5	3	3
ENSMUSG00000129233	1	3	0	4	3	7	1	1	0	1	0	1
ENSMUSG00000129269	3	1	5	8	14	9	2	4	3	1	0	2
ENSMUSG00000110799	0	0	1	3	2	6	2	0	1	0	0	0
ENSMUSG00000130032	1	2	3	6	8	11	1	0	2	1	1	3
ENSMUSG00000097742	11	11	21	52	41	69	14	14	26	11	3	7
ENSMUSG00000125738	1	1	3	9	10	8	2	0	3	2	1	3
ENSMUSG00000126328	5	1	5	6	12	6	1	4	5	0	2	2
ENSMUSG00000111549	0	0	0	0	0	4	0	0	0	0	0	0
ENSMUSG00000140488	0	2	1	7	4	7	2	2	2	0	1	0
ENSMUSG00002076892	1	0	0	2	0	2	5	1	0	0	2	1
ENSMUSG00000139672	1	1	2	8	5	20	5	3	11	0	1	1
ENSMUSG00000139704	2	2	1	4	6	7	3	1	0	0	0	1
ENSMUSG00000123763	0	1	0	8	3	4	1	2	1	0	0	0
ENSMUSG00000111488	2	0	4	7	7	20	7	1	1	1	0	2
ENSMUSG00000111234	0	0	1	4	2	9	2	1	2	1	1	0
ENSMUSG00000077576	0	2	4	0	2	0	0	0	0	0	0	2
ENSMUSG00002076946	0	0	0	0	0	3	0	0	0	0	0	0
ENSMUSG00000111048	0	3	2	2	6	7	3	2	5	1	0	1
ENSMUSG00000111208	3	4	8	9	7	8	5	11	2	1	5	1
ENSMUSG00000126281	0	0	4	11	1	10	1	4	5	1	1	0
ENSMUSG00000110782	0	1	0	1	1	1	0	0	0	1	0	0
ENSMUSG00000129849	1	2	1	3	4	9	4	2	5	4	0	0
ENSMUSG00000119503	0	1	0	2	1	2	0	0	0	0	0	0
ENSMUSG00000094311	2	1	1	8	2	4	0	0	2	1	0	1
ENSMUSG00000127129	1	1	1	0	0	5	1	0	0	0	2	2
ENSMUSG00000111431	1	1	1	7	7	5	4	1	0	0	2	0
ENSMUSG000000198462	21	13	28	59	42	72	41	20	41	4	9	17
ENSMUSG00000142485	0	0	1	2	2	2	2	1	0	0	1	0
ENSMUSG00000142443	8	8	8	28	22	14	9	6	12	4	5	4
ENSMUSG00000142525	1	2	0	1	1	5	0	4	3	1	0	1
ENSMUSG00000051736	27	19	23	19	12	16	41	24	25	42	48	49
ENSMUSG00000019845	163	93	137	65	58	61	259	169	181	246	272	226
ENSMUSG00000062074	5	1	11	6	8	5	9	3	0	3	5	8
ENSMUSG00000139729	0	0	0	5	6	8	0	0	0	0	0	1
ENSMUSG00000111055	2	6	6	11	7	22	13	3	2	7	7	7
ENSMUSG00000140593	1	7	3	3	0	5	5	4	0	0	0	5
ENSMUSG00000111877	502	279	535	65	76	36	487	246	529	324	313	211
ENSMUSG00000125573	2	2	1	16	10	14	3	1	1	1	2	3
ENSMUSG00000111008	15	2	11	26	20	29	31	11	19	6	6	9
ENSMUSG00000111183	1	8	6	11	7	20	13	3	4	3	3	9
ENSMUSG00000144102	3	3	4	7	7	13	7	6	8	0	4	8
ENSMUSG00000119997	37	32	59	18	31	32	45	27	56	54	42	49
ENSMUSG000000198435	5884	2665	4938	1397	984	878	5515	3771	4356	3575	4477	3746
ENSMUSG00000085799	59	30	60	15	9	8	43	46	32	32	50	62
ENSMUSG00000128180	33	32	48	9	12	7	25	32	12	24	32	49
ENSMUSG00000087014	100	58	101	50	15	41	99	60	87	58	96	100
ENSMUSG000000869150	72	51	79	51	35	50	96	68	58	53	55	94
ENSMUSG00000122405	1	2	2	8	7	18	7	4	3	0	0	0
ENSMUSG00000019842	638	330	670	145	148	136	554	414	460	544	742	682
ENSMUSG000000871770	477	456	681	392	285	396	544	388	401	678	1044	1102
