Geneid	WT_C_1	WT_C_2	WT_C_3	WT_T_1	WT_T_2	WT_T_3	KO_C_1	KO_C_2	KO_C_3	KO_T_1	KO_T_2	KO_T_3
ENSMUSG00000066693	0	0	0	0	0	0	0	1	1	0	1	0
ENSMUSG00000102316	2	4	4	13	27	17	7	5	10	3	1	0
ENSMUSG00000103819	0	0	0	0	1	5	0	2	5	0	1	0
ENSMUSG00000102871	1	5	1	4	2	7	2	3	5	0	0	2
ENSMUSG00000101571	2	6	4	6	6	15	6	1	4	0	0	0
ENSMUSG00000135814	2	4	2	5	8	8	6	1	2	0	7	1
ENSMUSG00000104428	1	2	2	9	5	5	1	0	2	0	2	0
ENSMUSG00000102272	1	1	3	4	0	8	0	2	0	0	1	0
ENSMUSG00000065625	0	1	0	0	0	0	2	0	0	0	0	0
ENSMUSG000000796711	24	19	36	65	52	83	37	23	28	24	14	26
ENSMUSG00000103411	0	4	0	2	3	5	2	1	4	1	0	3
ENSMUSG00000061024	376	154	297	19	33	28	331	175	295	148	143	108
ENSMUSG000000259115	9	14	17	27	22	37	24	16	15	20	15	10
ENSMUSG00000081441	3	2	3	4	7	6	3	1	1	1	4	7
ENSMUSG00000067879	2	5	3	14	8	26	6	12	4	1	1	3
ENSMUSG00000099827	3	6	6	7	10	8	13	4	1	5	1	3
ENSMUSG000000259127	104	59	103	67	34	64	158	112	148	184	185	162
ENSMUSG00000123215	2	3	3	12	3	7	5	1	3	0	3	5
ENSMUSG00000045210	1545	1005	1794	845	590	596	1580	1093	1284	1768	2528	2228
ENSMUSG000000978931	33	22	37	75	39	69	36	13	24	15	16	27
ENSMUSG00000128816	1	2	6	8	8	19	2	0	10	2	0	3
ENSMUSG000000259155	133	131	215	271	249	255	169	112	111	299	392	271
ENSMUSG00000046334	10	5	11	5	2	4	21	12	11	17	19	10
ENSMUSG00002075801	0	1	0	2	1	1	1	0	1	0	0	1
ENSMUSG000000982340	1022	479	747	128	174	127	1248	844	878	757	697	524
