gene_id	SRR9126859_1	SRR9126934_1	SRR9127063_1	SRR9127293_1	SRR9127308_1	SRR9127357_1	SRR9127396_1
ENSMUSG00000000690.6	0.100593	0.337962	0.039455	0.04375	0.198986	0.113147	0.146523
ENSMUSG00000000693.11	1.807421	4.263516	3.490206	2.360836	4.773658	1.026478	2.504703
ENSMUSG00000000701.9	0.042836	0	0.171283	0	0.032326	0	0.038988
ENSMUSG00000000706.17	0.194814	0.088856	0.397146	0	0.285332	0.029306	0.337728
ENSMUSG00000000708.15	0.661545	1.33627	0.359549	2.829359	0.929604	0.783935	0
ENSMUSG00000000711.4	7.42137	10.766421	14.535788	19.532111	17.525444	2.649641	11.26651
ENSMUSG00000000724.11	0.398956	0.05452	0.09967	0	0.046091	0.107374	0.791854
ENSMUSG00000000730.14	0.083828	0.299804	0.126421	0.124325	0.030097	0.169653	0.036368
ENSMUSG00000000731.16	0.114266	0.043878	0.124169	0.101209	0.101471	0.008923	0.116827
ENSMUSG00000000732.10	1.485117	1.781414	2.173377	2.403258	1.720206	0.553842	2.150125
ENSMUSG00000000738.19	3.877563	6.724894	6.996458	10.977785	9.487727	2.365813	5.798623
ENSMUSG00000000739.15	0.162655	0.286203	0.240753	0	0.061259	0	0.074022
ENSMUSG00000000740.13	85.24977	118.983806	104.641513	210.603626	149.932973	23.729041	95.902364
ENSMUSG00000000743.10	7.978557	13.515615	16.119438	25.155741	18.910549	4.026182	11.915171
ENSMUSG00000000751.14	16.573674	12.01531	23.266588	28.192229	21.127013	2.681302	15.282198
ENSMUSG00000000753.16	39.974259	121.483878	180.174423	73.941623	199.00246	42.672331	67.28441
ENSMUSG00000000759.15	3.521378	1.996678	5.661217	3.090687	4.972776	0.243867	3.064164
ENSMUSG00000000766.19	0.703329	0.625433	1.596799	0.466743	0.392027	0.345152	0.976587
ENSMUSG00000000776.14	0.298132	0	0.886809	0.76932	0.359623	1.418217	2.604536
ENSMUSG00000000782.17	0.249932	0.643472	0.786267	0.86525	0.431726	0.275021	1.04419
ENSMUSG00000000787.13	4.130233	6.957443	9.145044	11.87788	9.820599	2.253864	7.243989
ENSMUSG00000000791.10	0.389128	0.180646	0.888824	0.704999	0.326778	0.136212	0.075597
ENSMUSG00000000792.3	0.103011	0.0267	0.17676	0.027994	0.067893	0.02715	0.082038
ENSMUSG00000000794.10	0.070001	0.065752	0.18553	0.072037	0.15074	0.084892	0.14568
ENSMUSG00000000804.15	0.996051	1.159662	3.350453	5.935923	4.669602	0.81583	3.63167
ENSMUSG00000000805.19	0.730124	0	0.170958	0	0	0	0.239338
ENSMUSG00000000811.15	0	0	0	0	0	0	0
ENSMUSG00000000817.11	0.347487	0.583748	0.300638	1.355446	0.153965	0.31606	0.279063
ENSMUSG00000000823.17	1.399819	2.744126	1.378541	4.74429	3.86333	0.703094	2.823338
ENSMUSG00000000826.17	4.44369	7.092902	9.863437	12.469064	12.446705	1.054804	6.052257
ENSMUSG00000000827.19	3.86996	7.140363	5.441463	10.944841	7.151561	1.943231	6.248618
ENSMUSG00000000838.18	3.585871	5.197826	4.797538	4.960313	6.478838	2.136017	2.388186
ENSMUSG00000000861.16	1.204775	1.347805	3.114013	2.942789	2.407592	1.095237	2.265061
ENSMUSG00000000869.13	0.544376	0.16381	0.348574	0.582345	0.235589	0	0.308016
ENSMUSG00000000876.12	0.490922	0.907664	0.465994	1.571783	1.365102	0.418521	0.868166
ENSMUSG00000000881.13	0.186245	0.110793	0.022056	1.390604	0.069593	0.740095	0.071807
ENSMUSG00000000884.18	0.557809	1.036823	2.596443	1.555163	1.156004	0	0.417361
ENSMUSG00000000889.9	0.074898	2.507847	0.014688	0.015428	0.03385	0	0.013634
ENSMUSG00000000901.18	0	0.949624	0.082363	0.74579	0.768126	0	0.686047
ENSMUSG00000000902.14	2.831378	4.984051	3.101666	6.502933	6.045094	0.378041	5.265852
ENSMUSG00000000903.4	2.706069	5.686747	13.759428	4.574981	16.26257	2.710302	3.644831
ENSMUSG00000000915.16	1.590962	2.970264	3.307472	2.131597	3.100174	0.165925	1.053352
ENSMUSG00000000916.16	0.840998	2.452982	1.029452	0.487256	4.886928	1.51181	0.40612
ENSMUSG00000000934.10	0.364766	1.104521	0.245457	1.483968	0.707094	0.242968	0.60758
ENSMUSG00000000938.12	0.591387	1.34715	1.097957	0.831814	1.384286	0.366762	0.774041
ENSMUSG00000000942.11	0.076971	0.070936	0	0.074373	0.115955	0	0.070056
ENSMUSG00000000948.17	2.211633	0.792796	3.689519	0.392058	0.353514	0.51535	2.768624
ENSMUSG00000000957.12	9.520236	24.130393	20.832452	16.410285	29.438604	5.16644	15.74083
ENSMUSG00000000958.11	1.782166	1.828794	3.700075	4.35341	5.054955	1.003273	1.91233
ENSMUSG00000000959.8	2.330716	5.810799	4.599515	6.059931	5.17866	1.279737	5.653075
ENSMUSG00000000976.14	1.50438	2.923414	4.648203	2.923412	3.480974	0.694064	1.996246
ENSMUSG00000000982.6	0.60195	0.834614	0.472233	0.66019	0.352359	0.469692	0.486594
ENSMUSG00000000983.14	0.516986	0.107201	0.760383	0.374653	0.155766	0.036336	0.470544
ENSMUSG00000001014.7	1.838045	3.100293	7.999023	9.396805	11.720529	1.667326	4.412789
ENSMUSG00000001016.13	3.74245	4.313744	7.226491	9.796157	6.026412	3.766899	8.304513
ENSMUSG00000001017.17	1.085607	1.938516	1.530136	6.886323	3.641939	0	0.278207
ENSMUSG00000001018.16	6.686705	10.489018	9.744759	14.680723	11.673784	3.341926	8.786645
ENSMUSG00000001020.9	10.321971	15.158004	11.004314	17.633627	18.164502	4.984035	7.719769
ENSMUSG00000001021.14	0.109321	0.168136	0.076566	0.022635	0.175526	0	0.0995
ENSMUSG00000001023.11	0	0	0.39316	0	0.151011	0	0.182473
ENSMUSG00000001025.9	49.146943	119.034135	56.876417	145.795975	95.766545	18.152178	65.852223
ENSMUSG00000001027.8	1.04178	1.916164	0.17577	1.658664	1.307109	0.103084	2.384783
ENSMUSG00000001029.16	0.672087	2.259035	2.808782	5.232971	4.019665	0.704924	1.621485
ENSMUSG00000001034.18	1.176886	0.916804	0.877243	1.86484	0.841191	0.453345	1.916977
ENSMUSG00000001036.18	1.190425	1.622342	1.230243	1.631141	3.383803	0.403177	2.971951
ENSMUSG00000001039.13	0.637972	0	1.288925	3.240849	2.487286	0.732045	0.700758
ENSMUSG00000001052.16	2.035033	0.933876	1.912469	1.527588	3.088742	0.307707	1.2828
ENSMUSG00000001053.16	0	0	0	0	0	0.058228	0.121406
ENSMUSG00000001054.10	0.387464	0.341632	0.732118	3.510439	3.052894	0.803508	1.729606
ENSMUSG00000001056.4	4.005594	7.328089	7.21381	14.425688	9.576244	1.89727	6.011852
ENSMUSG00000001062.19	2.668899	2.393678	9.587541	7.57253	5.057759	2.393065	4.518102
ENSMUSG00000001065.16	2.573769	2.902169	3.205637	5.906967	4.966055	7.629968	2.724223
ENSMUSG00000001076.8	0	0.058418	0.027624	0	0.063662	0.019801	0
ENSMUSG00000001082.13	5.118141	9.525031	7.36003	15.505994	10.40902	2.951715	8.888204
ENSMUSG00000001089.15	0.912301	2.489554	3.040166	5.447976	1.298441	3.374913	2.060787
ENSMUSG00000001095.6	0.095697	0	0	0.183047	0.084097	0	0.10534
ENSMUSG00000001098.16	0.26878	0.743143	1.247718	0.755955	1.03459	0.262303	1.320803
ENSMUSG00000001100.11	3.006806	1.941085	5.473471	3.001217	3.886201	2.134321	4.83539
ENSMUSG00000001103.8	0.062639	0	0.096605	0	0.024737	0.092328	0.313568
ENSMUSG00000001105.16	5.468478	6.862172	6.127464	9.436518	9.375052	2.67179	5.769424
ENSMUSG00000001119.8	3.815514	10.16521	15.527044	6.263569	20.853349	2.958691	6.415642
ENSMUSG00000001120.16	0.320351	0.12272	0.430838	0.677471	1.562112	0.134112	0.228146
ENSMUSG00000001123.16	0.072783	0	0.301177	0.058222	0.070911	0.057266	0.137342
ENSMUSG00000001127.13	5.106694	9.683479	7.125335	12.898616	10.013147	2.12932	8.461223
ENSMUSG00000001128.8	23.933234	17.330341	32.142202	98.850759	33.869384	4.249185	14.826032
ENSMUSG00000001131.12	2.516449	7.668612	0	3.672523	4.320443	0.892672	1.72046
ENSMUSG00000001134.10	1.145482	1.222942	2.543232	5.173905	1.19169	0.069625	3.9828
ENSMUSG00000001138.14	0.670554	0.031527	0.518005	0.987735	0.648414	0	0.693731
ENSMUSG00000001143.14	2.768755	2.319651	5.951869	5.4779	4.308453	1.966024	3.217088
ENSMUSG00000001150.8	2.100839	2.563954	3.385036	2.9668	4.227306	1.553118	2.841111
ENSMUSG00000001151.11	0.937577	2.280064	2.189265	3.804883	2.834985	0.941734	2.487429
ENSMUSG00000001155.14	0.090927	0	0.088845	0	0.0585	0.027293	0.08245
ENSMUSG00000001156.10	1.917315	2.750694	5.605713	8.801725	5.124804	0.911409	3.397367
ENSMUSG00000001157.14	1.13026	0.916156	1.089487	1.215414	1.277073	0.90237	1.333509
ENSMUSG00000001158.14	0.36835	0.553374	0.526468	1.160033	0.773623	0.188031	1.813249
ENSMUSG00000001166.18	0.101618	0.081701	0.28146	0.441077	0.661723	0.142481	0.393448
ENSMUSG00000001168.17	0	0	0.269257	0	0	0.078635	0
ENSMUSG00000001173.16	12.189394	8.166793	16.832445	7.840504	8.348092	9.207811	15.311457
ENSMUSG00000001175.17	27.963545	69.22465	52.283048	110.181561	81.716092	15.381215	55.384786
ENSMUSG00000001211.16	8.831555	11.403392	8.198092	15.676766	14.637197	1.108559	8.638682
ENSMUSG00000001225.13	0.159563	0.070072	0.438449	0.202024	0.077253	0.221039	0.649476
ENSMUSG00000001227.13	0.141782	0.061521	0.240941	0.331751	0.143591	0	0.225259
ENSMUSG00000001228.15	2.058466	9.903053	9.675891	19.756917	20.559489	4.500563	7.205218
ENSMUSG00000001229.10	2.123123	4.136698	5.265262	7.468984	6.545412	0.704505	3.590178
ENSMUSG00000001240.14	1.338967	6.421935	1.721637	2.475946	3.529361	0.354595	4.658432
ENSMUSG00000001247.17	0.361168	0	0	0	0	0.048088	0.434627
ENSMUSG00000001248.16	2.889865	5.755715	6.707646	8.986444	8.17683	1.602357	4.948922
ENSMUSG00000001249.15	1.712906	2.399761	3.245238	1.860369	5.31277	2.071653	1.111119
ENSMUSG00000001260.11	0.249267	0.06657	0.520226	0.119177	0.165542	0.439631	0.519474
ENSMUSG00000001270.10	23.377117	75.940608	27.192701	71.362962	44.159395	9.485634	41.276732
ENSMUSG00000001280.14	2.060284	0.727355	1.321634	1.415309	2.475672	1.007161	1.179456
ENSMUSG00000001281.11	0	0	0.650475	0.754144	0	0	0
ENSMUSG00000001285.13	5.689887	6.48854	6.946088	11.310219	8.424316	3.056345	7.305456
ENSMUSG00000001288.16	1.075381	1.239939	1.563548	0.433342	1.201106	0	1.269925
ENSMUSG00000001289.13	10.102794	25.984297	19.039826	42.013644	26.442831	5.612452	19.548985
ENSMUSG00000001300.17	0.193168	0.057173	0.100402	0.059043	0.074692	0.030256	0.071724
ENSMUSG00000001305.6	0.990866	1.555997	2.683258	4.064885	1.926499	0.120982	2.162751
ENSMUSG00000001313.13	0.301424	0.562519	0.561558	0.263634	0.522545	0.105927	0.932766
ENSMUSG00000001323.18	1.350366	1.353088	2.657826	2.683134	1.682061	1.528248	2.339555
ENSMUSG00000001333.10	0.738388	1.42402	0.22764	0.61729	0.502259	0.221469	1.17356
ENSMUSG00000001334.11	0.429981	1.244115	0.174911	0.636418	0.585627	0.183973	0.993885
ENSMUSG00000001348.16	102.551534	266.847749	105.299099	235.982974	163.605204	32.411713	140.084592
ENSMUSG00000001349.6	0.388349	0.1454	0.409074	0.162569	0.513204	0	0.103096
ENSMUSG00000001366.15	3.516602	4.976036	17.386523	13.109387	9.673751	2.291316	5.919343
ENSMUSG00000001376.18	3.254452	2.856193	4.279874	1.733649	1.634227	1.93478	5.960662
ENSMUSG00000001380.8	4.742513	6.16897	14.968456	16.070664	13.800976	3.042051	9.249334
ENSMUSG00000001383.10	0.470735	0.732537	1.977932	2.002169	0.920655	0	3.224776
ENSMUSG00000001403.14	0.568489	0.752282	0.314206	0.384913	0.522476	0.046936	0.476513
ENSMUSG00000001415.11	2.441168	3.493357	4.618747	5.829346	4.401347	1.865106	4.832989
ENSMUSG00000001416.14	3.531208	10.445558	1.897388	7.511732	9.097172	0.562069	7.111703
ENSMUSG00000001418.14	11.641678	10.989766	19.380775	28.085616	22.062769	2.90768	11.214712
ENSMUSG00000001419.18	2.36194	3.138336	3.203971	2.531931	3.552201	1.374723	2.824661
ENSMUSG00000001420.14	0.382436	0.057841	0	0.34552	0.273593	0.01337	0.230204
ENSMUSG00000001424.15	5.634627	3.956755	1.496766	1.660587	11.029146	1.062913	1.250934
ENSMUSG00000001435.16	0	0.951289	0	0	0	0	0
ENSMUSG00000001436.16	0.550788	0.524034	0.687299	1.266674	0.644851	0.414229	0.253481
ENSMUSG00000001440.6	2.607369	4.582254	4.624285	6.344274	5.837387	1.485976	3.299833
ENSMUSG00000001441.14	21.056202	17.946301	31.514495	22.281809	19.457933	11.747148	28.849243
ENSMUSG00000001444.3	0.123263	0.223647	0.45324	0.882109	0.266935	0.086635	0.560952
ENSMUSG00000001445.11	0	0	0	0	0	0	0
ENSMUSG00000001467.6	0.707853	1.085199	2.241224	2.298526	2.058849	0.341943	1.347711
ENSMUSG00000001472.18	8.333233	28.600166	30.994408	26.257238	52.279261	37.840211	12.487815
ENSMUSG00000001473.8	2.893994	9.668586	4.731101	7.76291	6.985178	1.652134	4.871108
ENSMUSG00000001482.16	0.205133	1.208281	1.052489	5.059135	2.540232	0.175527	0.415659
ENSMUSG00000001493.10	0.191766	0.638636	0.358972	0.189505	0.446468	0.110275	0.555351
ENSMUSG00000001494.7	5.829439	13.675897	11.227129	1.252221	29.234966	0.480451	11.700353
ENSMUSG00000001496.16	0	0	0.037028	0.037607	0	0.013687	0
ENSMUSG00000001497.19	0.03999	0	0.122624	0	0	0	0.096415
ENSMUSG00000001504.11	0.226299	0.424091	0.227247	0.240234	0.087668	0.178361	0.401664
ENSMUSG00000001506.11	581.863669	1502.26186	1738.328319	907.888774	2326.486951	311.898932	918.43246
ENSMUSG00000001507.17	0.196551	0	0.196431	0.474075	0	0.066309	0
ENSMUSG00000001508.16	0.70132	3.492014	0.221607	0.336739	2.023278	0.061737	1.378143
ENSMUSG00000001510.9	1.228921	2.922417	2.625178	1.537318	4.639381	0.894586	2.516682
ENSMUSG00000001517.15	1.520766	1.989552	5.834069	3.267706	2.062733	0.255649	2.22086
ENSMUSG00000001518.13	2.967986	2.358746	2.719565	2.451192	3.421631	1.085093	5.818236
ENSMUSG00000001520.13	0.442948	0.152107	0.502507	0.411269	0.274697	0.250827	0.853903
ENSMUSG00000001521.13	1.493607	1.015736	1.48258	0.909166	1.204424	0.653652	1.943174
ENSMUSG00000001524.15	0.64126	0.618746	5.5655	0.145287	3.209091	0.825314	2.6624
ENSMUSG00000001525.11	0.973152	0.746016	2.012562	2.007393	1.268117	0.353192	1.010913
ENSMUSG00000001542.8	4.078162	5.597442	9.769089	14.399847	12.92367	3.258642	7.641096
ENSMUSG00000001552.15	2.56367	5.899326	5.601593	11.748866	9.400342	1.652552	9.258535
ENSMUSG00000001555.11	1.437139	3.259256	3.53004	1.930336	3.630519	0.562407	3.486022
ENSMUSG00000001558.6	0.097575	0.061925	0.133946	0.014142	0.044098	0.027432	0.284191
ENSMUSG00000001566.11	0.103708	0	0	0	0	0	0.015732
ENSMUSG00000001569.11	0	0	0	1.559921	0	0	0
ENSMUSG00000001576.16	3.730194	5.968321	5.96393	9.24193	4.884385	1.749656	4.571381
ENSMUSG00000001583.14	0.171789	1.247521	0.483349	0.592903	0.072291	0.025092	0.243918
ENSMUSG00000001588.13	4.612032	7.296697	13.053797	14.923267	12.363263	3.111036	9.157594
ENSMUSG00000001604.15	0	0	0	0	0	0	0
