Geneid	male_24m_2	male_24m_1	male_3m_5	male_24m_7	male_3m_6	male_3m_3	male_24m_4
ENSMUSG00000100110	6	14	9	5	7	20	23
ENSMUSG00000025777	67	101	94	45	55	95	137
ENSMUSG00000099899	15	3	18	1	12	4	12
ENSMUSG00000138285	5	4	9	1	4	3	17
ENSMUSG00000100272	1	0	2	0	1	0	3
ENSMUSG00000137468	6	7	3	3	2	5	12
ENSMUSG00000137506	8	1	1	2	3	3	2
ENSMUSG00000100398	0	0	0	0	0	0	0
ENSMUSG00000101589	7	5	10	5	6	13	9
ENSMUSG00000102048	4	8	4	2	2	14	6
ENSMUSG00000089534	2	0	1	1	3	2	5
ENSMUSG00000067780	23	31	47	38	25	34	52
ENSMUSG00000100053	7	17	2	13	15	20	15
ENSMUSG00000085125	62	20	66	13	26	62	53
ENSMUSG00000025776	60	71	127	65	161	94	70
ENSMUSG00000099895	6	1	2	4	3	13	17
ENSMUSG00000109887	14	7	29	8	10	14	46
ENSMUSG00000100554	5	5	13	1	1	4	21
ENSMUSG00000099473	1	0	0	0	1	0	2
ENSMUSG00000099591	18	6	10	4	4	7	13
ENSMUSG00000102001	0	2	0	0	0	0	4
ENSMUSG00000101717	2	2	1	0	2	0	5
ENSMUSG00000025774	28	25	18	11	16	28	42
ENSMUSG00000142595	9	13	5	2	3	23	12
ENSMUSG00000070977	1	0	0	0	0	4	1
ENSMUSG00000131994	3	1	4	1	1	0	4
ENSMUSG00000073735	0	0	0	4	0	0	0
ENSMUSG00000067773	0	1	4	3	0	3	2
ENSMUSG00000101685	7	0	1	4	0	5	3
ENSMUSG00000132263	7	1	2	3	2	3	7
ENSMUSG00000132383	4	6	6	3	5	8	21
ENSMUSG00000101306	1	5	3	1	1	5	8
ENSMUSG00000134916	8	1	5	0	4	0	1
ENSMUSG00000088800	0	0	0	0	2	0	2
ENSMUSG00000101644	0	0	0	0	0	0	0
ENSMUSG00000099433	1	0	4	0	0	0	3
ENSMUSG00000089787	13	10	17	1	5	8	14
ENSMUSG00000042596	5	2	3	0	3	10	11
ENSMUSG00000100720	1	6	2	1	0	6	9
ENSMUSG00000025927	27	20	22	8	12	25	41
ENSMUSG00000142982	1	0	0	0	0	0	1
ENSMUSG00000100538	9	8	9	0	7	12	15
ENSMUSG00000101117	1	0	0	0	2	0	0
ENSMUSG00000100204	8	7	11	2	2	5	23
ENSMUSG00002076883	2	0	1	1	0	2	0
ENSMUSG00000141106	3	3	5	0	6	5	9
ENSMUSG00000102597	8	12	14	3	8	4	28
ENSMUSG00000142065	0	2	1	1	2	1	3
ENSMUSG00000136536	16	3	4	9	0	16	19
ENSMUSG00000043760	41	95	107	42	55	91	168
ENSMUSG00000104095	12	29	16	7	7	11	44
ENSMUSG00000089914	5	8	13	0	5	5	5
ENSMUSG00000090142	3	7	9	3	3	5	4
ENSMUSG00000070175	4	1	4	0	0	0	0
ENSMUSG00000099906	20	23	7	11	15	11	28
